Magnesium;water;ocean;kilogram;0
Chloride;soil;forestry;kilogram;1
Pentachlorobenzene;air;non-urban air or from high stacks;kilogram;2
Hydrogen peroxide;air;low population density, long-term;kilogram;3
Krypton-85m;air;unspecified;kilo Becquerel;4
Transformation, from forest, unspecified;natural resource;land;square meter;5
Chloramine;air;non-urban air or from high stacks;kilogram;6
Molybdenum VI;soil;unspecified;kilogram;7
Ethylene;air;low population density, long-term;kilogram;8
Manganese;water;ground-, long-term;kilogram;9
Iron-59;water;ground-, long-term;kilo Becquerel;10
Flumioxazin;soil;forestry;kilogram;11
Barium II;air;urban air close to ground;kilogram;12
Plutonium-alpha;air;urban air close to ground;kilo Becquerel;13
Chromium-51;water;ground-, long-term;kilo Becquerel;14
o-Dichlorobenzene;air;unspecified;kilogram;15
Pirimicarb;soil;agricultural;kilogram;16
Trimethylamine;water;ground-, long-term;kilogram;17
Selenium IV;air;urban air close to ground;kilogram;18
Carbon monoxide, fossil;air;low population density, long-term;kilogram;19
Transformation, to seabed, natural (non-use);natural resource;land;square meter;20
Dimethyl ether;water;unspecified;kilogram;21
Benzal chloride;water;surface water;kilogram;22
Sodium hydroxide;air;non-urban air or from high stacks;kilogram;23
Occupation, inland waterbody, unspecified;natural resource;land;square meter-year;24
Diborane;air;low population density, long-term;kilogram;25
Clethodim;water;surface water;kilogram;26
Monoethanolamine;air;low population density, long-term;kilogram;27
Thorium-234;air;urban air close to ground;kilo Becquerel;28
Trichloroethylene;air;unspecified;kilogram;29
Carboxylic acids, unspecified;water;ground-;kilogram;30
Methidathion;soil;agricultural;kilogram;31
Thallium;natural resource;in ground;kilogram;32
Methyl ethyl ketone;air;non-urban air or from high stacks;kilogram;33
Prothioconazole;water;ground-;kilogram;34
Iron ion;soil;agricultural;kilogram;35
Water, unspecified natural origin;natural resource;in water;cubic meter;36
Saflufenacil;air;non-urban air or from high stacks;kilogram;37
Silicon tetrafluoride;air;low population density, long-term;kilogram;38
Radioactive species, from fission and activation;water;ground-;kilo Becquerel;39
Glufosinate;soil;agricultural;kilogram;40
Hydrocarbons, aliphatic, unsaturated;water;ground-, long-term;kilogram;41
Tribenuron-methyl;water;ground-;kilogram;42
Aldehydes, unspecified;air;unspecified;kilogram;43
Nitrogen;water;ocean;kilogram;44
Uranium-238;air;urban air close to ground;kilo Becquerel;45
Tebuthiuron;soil;agricultural;kilogram;46
Tin ion;water;ground-;kilogram;47
Uranium-234;water;surface water;kilo Becquerel;48
Formamide;air;low population density, long-term;kilogram;49
Methylamine;air;low population density, long-term;kilogram;50
Arsenic ion;soil;forestry;kilogram;51
Xenon-131m;air;low population density, long-term;kilo Becquerel;52
Isopropanol;water;ground-;kilogram;53
Chromium VI;soil;forestry;kilogram;54
Phosphorus pentachloride;water;unspecified;kilogram;55
Cobalt II;water;unspecified;kilogram;56
Transformation, to forest, extensive;natural resource;land;square meter;57
Occupation, snow and ice (non-use);natural resource;land;square meter-year;58
Niobium-95;water;ground-;kilo Becquerel;59
Isobutanol;air;low population density, long-term;kilogram;60
Hexafluoroethane;air;unspecified;kilogram;61
Cyanoacetic acid;air;unspecified;kilogram;62
Propylene;air;urban air close to ground;kilogram;63
Metribuzin;air;non-urban air or from high stacks;kilogram;64
Hydrogen sulfide;air;unspecified;kilogram;65
Ethylene dichloride;air;unspecified;kilogram;66
Phosphine;air;non-urban air or from high stacks;kilogram;67
Ethyl acetate;water;ocean;kilogram;68
Thallium I;air;unspecified;kilogram;69
Acetone;air;low population density, long-term;kilogram;70
Benzo(k)fluoranthene;water;ocean;kilogram;71
Dichlorprop;air;non-urban air or from high stacks;kilogram;72
Tebuthiuron;soil;forestry;kilogram;73
Hydrocarbons, aliphatic, unsaturated;water;ground-;kilogram;74
Methyl acetate;water;unspecified;kilogram;75
Palladium II;water;ground-;kilogram;76
Fluazinam;air;unspecified;kilogram;77
Hexachloroethane;water;ground-;kilogram;78
Quintozene;soil;agricultural;kilogram;79
Cycluron;soil;agricultural;kilogram;80
Bromopropane;air;unspecified;kilogram;81
Ethylene oxide;water;surface water;kilogram;82
Isohexane;air;urban air close to ground;kilogram;83
Diflufenzopyr;water;ground-;kilogram;84
Vanadium V;soil;industrial;kilogram;85
Arsenic ion;air;unspecified;kilogram;86
PAH, polycyclic aromatic hydrocarbons;air;unspecified;kilogram;87
Transformation, to annual crop, non-irrigated, extensive;natural resource;land;square meter;88
Vamidothion;soil;agricultural;kilogram;89
Transformation, to pasture, man made, intensive;natural resource;land;square meter;90
