hard coal, import from Australia;hard coal;kilogram;IN;0
market for waste electric wiring;waste electric wiring;kilogram;RoW;1
market for waste polystyrene;waste polystyrene;kilogram;MT;2
sewer grid construction, rural;sewer grid, rural;cubic meter;GLO;3
treatment of residues, MSWI, municipal solid waste, residual material landfill;residues, MSWI, municipal solid waste;kilogram;FR;4
treatment of antimony slag, water-quenched, residual material landfill;antimony slag, water-quenched;kilogram;GLO;5
evaporation of natural gas, import from NO;natural gas, high pressure;cubic meter;RER;6
market for residues, MSWI[F], waste plastic, mixture;residues, MSWI[F], waste plastic, mixture;kilogram;CH;7
electricity production, deep geothermal;electricity, high voltage;kilowatt hour;ZA;8
petroleum refinery operation;diesel;kilogram;CH;9
deep drawing, steel, 3500 kN press, single stroke;deep drawing, steel, 3500 kN press, single stroke;kilogram;RER;10
market for electricity, low voltage;electricity, low voltage;kilowatt hour;US-TRE;11
sealing tape production, aluminium/PE, 50 mm wide;sealing tape, aluminium/PE, 50 mm wide;meter;RoW;12
natural gas, liquefied, import from ID;natural gas, liquefied;cubic meter;KR;13
lean concrete production, for building construction, with cement ZN/D;lean concrete;cubic meter;CH;14
market for concrete block;concrete block;kilogram;BR;15
market for bottom ash, MSWI, waste packaging paper;bottom ash, MSWI, waste packaging paper;kilogram;GLO;16
treatment of sewage sludge, 75% water, WWT, WW from grass refinery, sanitary landfill;electricity, medium voltage;kilowatt hour;GLO;17
electricity production, hydro, reservoir, tropical region;electricity, high voltage;kilowatt hour;CO;18
refractory production, basic, packed;refractory, basic, packed;kilogram;DE;19
market for transport, passenger car, medium size, diesel, EURO 4;transport, passenger car, medium size, diesel, EURO 4;kilometer;GLO;20
treatment of wastewater from liquid crystal production, wastewater treatment;heat, central or small-scale, other than natural gas;megajoule;RoW;21
market for dust collector, electrostatic precipitator, for industrial use;dust collector, electrostatic precipitator, for industrial use;unit;GLO;22
fosetyl-Al production;sodium nitrate;kilogram;RER;23
treatment of wastewater from lorry production, wastewater treatment, urban;wastewater from lorry production;cubic meter;RoW;24
electricity production, photovoltaic, 570kWp open ground installation, multi-Si;electricity, low voltage;kilowatt hour;CA-QC;25
supply air inlet production, steel/SS, DN 75;supply air inlet, steel/SS, DN 75;unit;RER;26
petroleum and gas production, offshore;petroleum;kilogram;CN;27
phenyl isocyanate production;phenyl isocyanate;kilogram;RER;28
treatment of blast furnace gas, in power plant;heat, district or industrial, other than natural gas;megajoule;RoW;29
alkylbenzene sulfonate production, linear, petrochemical;alkylbenzene sulfonate, linear, petrochemical;kilogram;RoW;30
treatment of used refrigeration machine, carbon dioxide, liquid as refrigerant;used refrigeration machine, carbon dioxide, liquid as refrigerant;unit;GLO;31
pesticide production, unspecified;pesticide, unspecified;kilogram;RoW;32
treatment of waste gypsum, sanitary landfill;waste gypsum;kilogram;RoW;33
treatment of used air filter, decentralized unit, 180-250 m3/h;used air filter decentralized unit, 180-250 m3/h;unit;CH;34
natural gas, high pressure, import from PE;natural gas, high pressure;cubic meter;GB;35
green manure growing, organic, until March;green manure, organic, until March;hectare;RoW;36
treatment of sewage sludge, 70% water, WWT-SLF, refinery sludge, municipal incineration;sewage sludge, 70% water, WWT-SLF, refinery sludge;kilogram;RoW;37
market for injection moulding;injection moulding;kilogram;GLO;38
nutrient supply from thomas meal;inorganic phosphorus fertiliser, as P2O5;kilogram;GLO;39
market for ethylene glycol;ethylene glycol;kilogram;RER;40
petroleum and gas production, onshore;natural gas, high pressure;cubic meter;NG;41
market for leachate, SLF, hard coal ash;leachate, SLF, hard coal ash;cubic meter;GLO;42
land already in use, perennial cropland to annual crop;land tenure, arable land, measured as carbon net primary productivity, annual crop;kilogram;CH;43
BTX production, from reformate, average;hydrocarbons, aromatic, cyclic (C9+);kilogram;RER;44
bell pepper production, open field;bell pepper;kilogram;IN-UP;45
heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;heat, district or industrial, other than natural gas;megajoule;LV;46
hydropower plant construction, run-of-river;hydropower plant, run-of-river;unit;RoW;47
treatment of lignite ash, municipal incineration;lignite ash;kilogram;GLO;48
electricity production, wind, 1-3MW turbine, onshore;electricity, high voltage;kilowatt hour;CN-BJ;49
market for sludge, NaCl electrolysis;sludge, NaCl electrolysis;kilogram;RoW;50
market for sodium dithionite, anhydrous;sodium dithionite, anhydrous;kilogram;RoW;51
market for trifluoroacetic acid;trifluoroacetic acid;kilogram;RoW;52
gallium, in Bayer liquor from aluminium production;gallium, in Bayer liquor from aluminium production;kilogram;GLO;53
electricity production, nuclear, pressure water reactor;electricity, high voltage;kilowatt hour;LT;54
market for polyethylene, high density, granulate, recycled;polyethylene, high density, granulate, recycled;kilogram;US;55
market for waste polyurethane;waste polyurethane;kilogram;BR;56
treatment of used blower and heat exchange unit, Twl-700;used blower and heat exchange unit Twl-700;unit;CH;57
market for capacitor, tantalum-, for through-hole mounting;capacitor, tantalum-, for through-hole mounting;kilogram;GLO;58
electricity, high voltage, production mix;electricity, high voltage;kilowatt hour;CA-AB;59
rare earth oxides production, from rare earth carbonate concentrate;praseodymium oxide;kilogram;CN-FJ;60
treatment of waste plastic, mixture, municipal incineration FAE;electricity, for reuse in municipal waste incineration only;kilowatt hour;CH;61
natural gas, liquefied, import from US;natural gas, liquefied;cubic meter;IT;62
market for green manure, Swiss integrated production, until January;green manure, Swiss integrated production, until January;hectare;CH;63
land use change, pasture, man made;land use change, pasture, man made;hectare;BR-PA;64
market for soybean oil, crude;soybean oil, crude;kilogram;RER;65
board, softwood, raw, air drying to u=20%;sawnwood, board, softwood, raw, dried (u=20%);cubic meter;CA-QC;66
market for inorganic phosphorus fertiliser, as P2O5;inorganic phosphorus fertiliser, as P2O5;kilogram;HU;67
geothermal power plant construction;geothermal power plant, 5.5MWel;unit;RoW;68
heat and power co-generation, lignite;electricity, high voltage;kilowatt hour;BA;69
market for magnesium;magnesium;kilogram;GLO;70
nutrient supply from compost;organic phosphorus fertiliser, as P2O5;kilogram;GLO;71
market for natural gas, high pressure;natural gas, high pressure;cubic meter;PE;72
